# incorrecto	correcto	modo
# modo: auto = seguro de corregir | manual = ambiguo, solo se reporta
# Solo minusculas salvo nombres propios: el script deriva Capitalizada y MAYUSCULA.
#
# --- terminacion -cion / -sion (singular lleva tilde, plural NO) ---
accion	acción	auto
actualizacion	actualización	auto
administracion	administración	auto
aplicacion	aplicación	auto
aprobacion	aprobación	auto
asignacion	asignación	auto
autenticacion	autenticación	auto
autorizacion	autorización	auto
cancelacion	cancelación	auto
clasificacion	clasificación	auto
comision	comisión	auto
conexion	conexión	auto
configuracion	configuración	auto
confirmacion	confirmación	auto
consignacion	consignación	auto
cotizacion	cotización	auto
creacion	creación	auto
descripcion	descripción	auto
devolucion	devolución	auto
dimension	dimensión	auto
direccion	dirección	auto
edicion	edición	auto
eliminacion	eliminación	auto
exportacion	exportación	auto
extension	extensión	auto
facturacion	facturación	auto
generacion	generación	auto
gestion	gestión	auto
importacion	importación	auto
informacion	información	auto
instalacion	instalación	auto
integracion	integración	auto
notificacion	notificación	auto
numeracion	numeración	auto
opcion	opción	auto
operacion	operación	auto
peticion	petición	auto
posicion	posición	auto
presion	presión	auto
produccion	producción	auto
publicacion	publicación	auto
recepcion	recepción	auto
recoleccion	recolección	auto
region	región	auto
relacion	relación	auto
resolucion	resolución	auto
retencion	retención	auto
seleccion	selección	auto
sesion	sesión	auto
sincronizacion	sincronización	auto
situacion	situación	auto
suscripcion	suscripción	auto
transaccion	transacción	auto
ubicacion	ubicación	auto
validacion	validación	auto
verificacion	verificación	auto
version	versión	auto
visualizacion	visualización	auto
# --- sustantivos frecuentes del producto ---
almacen	almacén	auto
analisis	análisis	auto
area	área	auto
articulo	artículo	auto
articulos	artículos	auto
bateria	batería	auto
busqueda	búsqueda	auto
busquedas	búsquedas	auto
camion	camión	auto
categoria	categoría	auto
categorias	categorías	auto
codigo	código	auto
codigos	códigos	auto
credito	crédito	auto
creditos	créditos	auto
debito	débito	auto
deposito	depósito	auto
depositos	depósitos	auto
dia	día	auto
dias	días	auto
economia	economía	auto
energia	energía	auto
envio	envío	auto
envios	envíos	auto
garantia	garantía	auto
garantias	garantías	auto
guia	guía	auto
guias	guías	auto
imagenes	imágenes	auto
limite	límite	auto
limites	límites	auto
logistica	logística	auto
margenes	márgenes	auto
mensajeria	mensajería	auto
mercancia	mercancía	auto
mercancias	mercancías	auto
metodo	método	auto
metodos	métodos	auto
numero	número	auto
numeros	números	auto
ordenes	órdenes	auto
origenes	orígenes	auto
pagina	página	auto
paginas	páginas	auto
pais	país	auto
paises	países	auto
parametro	parámetro	auto
parametros	parámetros	auto
razon	razón	auto
resumenes	resúmenes	auto
tecnologia	tecnología	auto
telefono	teléfono	auto
telefonos	teléfonos	auto
titulo	título	auto
titulos	títulos	auto
volumenes	volúmenes	auto
# --- adjetivos y adverbios ---
ademas	además	auto
adios	adiós	auto
ahi	ahí	auto
alli	allí	auto
aqui	aquí	auto
asi	así	auto
atras	atrás	auto
automatico	automático	auto
automatica	automática	auto
automaticos	automáticos	auto
automaticas	automáticas	auto
basico	básico	auto
basica	básica	auto
basicos	básicos	auto
basicas	básicas	auto
despues	después	auto
detras	detrás	auto
dificil	difícil	auto
dificiles	difíciles	auto
economico	económico	auto
electronico	electrónico	auto
electronica	electrónica	auto
estandar	estándar	auto
exito	éxito	auto
facil	fácil	auto
faciles	fáciles	auto
historico	histórico	auto
kilometro	kilómetro	auto
mas	más	auto
maximo	máximo	auto
maxima	máxima	auto
minimo	mínimo	auto
minima	mínima	auto
movil	móvil	auto
moviles	móviles	auto
numerico	numérico	auto
practico	práctico	auto
proximo	próximo	auto
proxima	próxima	auto
quizas	quizás	auto
rapido	rápido	auto
rapida	rápida	auto
segun	según	auto
tambien	también	auto
tecnico	técnico	auto
telefonico	telefónico	auto
todavia	todavía	auto
ultimo	último	auto
ultima	última	auto
ultimos	últimos	auto
ultimas	últimas	auto
unico	único	auto
unica	única	auto
unicos	únicos	auto
unicas	únicas	auto
util	útil	auto
utiles	útiles	auto
# --- enie: error grave, "ano" no es "ano" ---
ano	año	auto
anos	años	auto
anadir	añadir	auto
compania	compañía	auto
disenar	diseñar	auto
diseno	diseño	auto
espanol	español	auto
manana	mañana	auto
pequeno	pequeño	auto
senal	señal	auto
tamano	tamaño	auto
contrasena	contraseña	auto
desempeno	desempeño	auto
# --- verbos en futuro / condicional ---
apareceran	aparecerán	auto
debera	deberá	auto
estara	estará	auto
estaran	estarán	auto
hara	hará	auto
podra	podrá	auto
podran	podrán	auto
podria	podría	auto
quedara	quedará	auto
sera	será	auto
seran	serán	auto
tendra	tendrá	auto
tendran	tendrán	auto
deberia	debería	auto
# --- futuro simple ---
actualizara	actualizará	auto
afectara	afectará	auto
aparecera	aparecerá	auto
aplicara	aplicará	auto
cambiara	cambiará	auto
cerrara	cerrará	auto
continuara	continuará	auto
costara	costará	auto
cotizara	cotizará	auto
creara	creará	auto
dejara	dejará	auto
enviara	enviará	auto
generara	generará	auto
guardara	guardará	auto
